event,userId,time,proMonthUpgrade,proYearUpgrade,monthPro,yearPro,basicYearUpgrade,monthBasic,yearBasic,amount
payment,b20b41d0-6526-4fea-8249-7a65cd88c271,1.65E+12,0,0,0,0,0,1,0,39
payment,b20b41d0-6526-4fea-8249-7a65cd88c271,1.66E+12,0,0,0,0,0,1,0,39
payment,48076dcd-6bc9-4bea-935c-17fd07e90050,1.66E+12,0,0,0,0,0,1,0,39
payment,914b7c2d-6a59-4d9f-8359-b6c518ce94b1,1.66E+12,0,0,0,0,0,1,0,39
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.66E+12,0,0,0,0,0,1,0,39
payment,b20b41d0-6526-4fea-8249-7a65cd88c271,1.66E+12,0,0,0,0,0,1,0,39
payment,8d6926b7-12cf-4885-8ad2-7b77cb3c1502,1.66E+12,0,0,0,0,0,1,0,39
payment,48076dcd-6bc9-4bea-935c-17fd07e90050,1.66E+12,0,0,0,0,0,1,0,39
payment,17798459-4740-47c6-954c-7c295db7024d,1.66E+12,0,0,0,0,0,1,0,39
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.66E+12,0,0,0,0,0,1,0,39
payment,b20b41d0-6526-4fea-8249-7a65cd88c271,1.66E+12,0,0,0,0,0,1,0,39
payment,95e78381-366c-433d-b0c6-2b9c06288880,1.66E+12,0,0,0,0,0,1,0,39
payment,8d6926b7-12cf-4885-8ad2-7b77cb3c1502,1.66E+12,0,0,0,0,0,1,0,39
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.66E+12,0,0,0,0,0,4,0,159.96
payment,914b7c2d-6a59-4d9f-8359-b6c518ce94b1,1.66E+12,0,0,0,0,0,1,0,19.99
payment,f5a674f3-aa0e-4166-81b0-a622b9e2f53b,1.66E+12,0,0,0,0,0,1,0,39.99
payment,ad250d6c-2cbc-4122-ab54-9fe318e17333,1.66E+12,0,0,0,0,0,1,0,39.99
payment,927c470f-ac35-42f7-9288-f776bf693229,1.66E+12,0,0,0,0,0,1,0,19.99
payment,48076dcd-6bc9-4bea-935c-17fd07e90050,1.66E+12,0,0,0,0,0,1,0,39
payment,17798459-4740-47c6-954c-7c295db7024d,1.66E+12,0,0,0,0,0,1,0,39
payment,b30ecfe8-8fa2-4ca7-902e-ff58f6a4ad67,1.66E+12,0,0,0,0,0,1,0,39.99
payment,329a5e6f-5d13-42ec-aa4f-f5e5dd523fc3,1.66E+12,0,0,0,0,0,1,0,39.99
payment,191f20a5-c3c3-41fb-9939-b40f77ee27d5,1.66E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.66E+12,0,0,0,0,0,1,0,39
payment,b20b41d0-6526-4fea-8249-7a65cd88c271,1.66E+12,0,0,0,0,0,1,0,39
payment,38c76394-976c-4639-bc1a-1475d837daaf,1.66E+12,0,0,0,0,0,1,0,39.99
payment,f4ea9166-7f62-4571-a8ac-56bd12fce5d0,1.66E+12,0,0,0,0,0,1,0,39.99
payment,8d6926b7-12cf-4885-8ad2-7b77cb3c1502,1.66E+12,0,0,0,0,0,1,0,39
payment,49e710ae-5034-487a-98f1-ae897b4f0fd0,1.66E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.66E+12,0,0,0,0,0,4,0,159.96
payment,914b7c2d-6a59-4d9f-8359-b6c518ce94b1,1.66E+12,0,0,0,0,0,1,0,19.99
payment,f5a674f3-aa0e-4166-81b0-a622b9e2f53b,1.66E+12,0,0,0,0,0,1,0,39.99
payment,ad250d6c-2cbc-4122-ab54-9fe318e17333,1.67E+12,0,0,0,0,0,1,0,39.99
payment,927c470f-ac35-42f7-9288-f776bf693229,1.67E+12,0,0,0,0,0,1,0,39.99
payment,2ef529c3-386e-40ff-b192-c7a4d2844c9b,1.67E+12,0,0,0,0,0,1,0,39.99
payment,48076dcd-6bc9-4bea-935c-17fd07e90050,1.67E+12,0,0,0,0,0,1,0,39
payment,17798459-4740-47c6-954c-7c295db7024d,1.67E+12,0,0,0,0,0,1,0,39
payment,b30ecfe8-8fa2-4ca7-902e-ff58f6a4ad67,1.67E+12,0,0,0,0,0,1,0,39.99
payment,12417779-159b-45ef-92e4-45e501996dee,1.67E+12,0,0,0,0,0,1,0,19.99
payment,329a5e6f-5d13-42ec-aa4f-f5e5dd523fc3,1.67E+12,0,0,0,0,0,1,0,39.99
payment,b84ef013-f5f6-4223-8e79-348911c89c20,1.67E+12,0,0,0,0,0,1,0,39.99
payment,61ace6cb-c8a5-450a-977e-15e31160b1f1,1.67E+12,0,0,0,0,0,1,0,39.99
payment,2bfb3198-0a03-4ac7-913f-683cfc550a3d,1.67E+12,0,0,0,0,0,1,0,39.99
payment,191f20a5-c3c3-41fb-9939-b40f77ee27d5,1.67E+12,0,0,0,0,0,1,0,39.99
payment,800b982c-fe91-475c-8e61-2fdd630bc799,1.67E+12,0,0,0,0,0,1,0,39.99
payment,bcfd70a9-6409-4aa8-8e0e-a44d2f195f42,1.67E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.67E+12,0,0,0,0,0,1,0,39
payment,b20b41d0-6526-4fea-8249-7a65cd88c271,1.67E+12,0,0,0,0,0,1,0,39
payment,38c76394-976c-4639-bc1a-1475d837daaf,1.67E+12,0,0,0,0,0,1,0,39.99
payment,ccba1113-536f-4496-90f0-4c6e8a652abe,1.67E+12,0,0,0,0,0,1,0,39.99
payment,054bd70c-3a22-4c28-9ab4-418512aed748,1.67E+12,0,0,0,0,0,1,0,39.99
payment,c688d15e-e548-4fe2-8cac-67454512cc3a,1.67E+12,0,0,0,0,0,1,0,39.99
payment,ea6dbff7-a890-4549-b87b-0f49bdcf2627,1.67E+12,0,0,0,0,0,1,0,39.99
payment,2a0fe080-9d79-4150-8cc6-f7c8d1b5ab44,1.67E+12,0,0,0,0,0,1,0,39.99
payment,8d6926b7-12cf-4885-8ad2-7b77cb3c1502,1.67E+12,0,0,0,0,0,1,0,39
payment,49e710ae-5034-487a-98f1-ae897b4f0fd0,1.67E+12,0,0,0,0,0,1,0,39.99
payment,645c1c38-0a9a-4a36-8a05-ea4648ef093b,1.67E+12,0,0,0,0,0,4,0,159.96
payment,914b7c2d-6a59-4d9f-8359-b6c518ce94b1,1.67E+12,0,0,0,0,0,1,0,19.99
payment,f6ec19c3-c2ce-46a2-8a47-52f3bc0372e8,1.67E+12,0,0,0,0,0,1,0,39.99
payment,f5a674f3-aa0e-4166-81b0-a622b9e2f53b,1.67E+12,0,0,0,0,0,1,0,39.99
payment,ad250d6c-2cbc-4122-ab54-9fe318e17333,1.67E+12,0,0,0,0,0,1,0,39.99
payment,2ef529c3-386e-40ff-b192-c7a4d2844c9b,1.67E+12,0,0,0,0,0,1,0,39.99
payment,48076dcd-6bc9-4bea-935c-17fd07e90050,1.67E+12,0,0,0,0,0,1,0,39
payment,75fa8635-e323-454c-a57a-86e8e66c369e,1.67E+12,0,0,0,0,0,1,0,39.99
payment,395ffce2-89f4-40ad-a17c-eaf975694ea5,1.67E+12,0,0,0,0,0,1,0,39.99
payment,17798459-4740-47c6-954c-7c295db7024d,1.67E+12,0,0,0,0,0,1,0,39
payment,96a36131-dd40-4153-8603-2503a938d534,1.67E+12,0,0,0,0,0,1,0,39.99
payment,3b7a3b10-a090-44f6-a0f2-859fd211ee23,1.67E+12,0,0,0,0,0,1,0,39.99
payment,6abe5bdc-8423-4f74-a1a0-eaebd19f429c,1.67E+12,0,0,0,0,0,1,0,39.99
payment,b30ecfe8-8fa2-4ca7-902e-ff58f6a4ad67,1.67E+12,0,0,0,0,0,1,0,39.99
